d1,d2,d3,diem,Toán_TB,Văn_TB,KH_TB
35,34,21,90,9.7,7.75,9.02
20,30,17,67,7.52,7.55,7.42
27,31,22,80,9.07,7.88,8.5
26,31,20,77,8.48,7.02,7.76
25,37,25,87,7.68,7.28,7.98
24,42,22,88,8.62,8.55,7.99
35,32,18,85,8.38,6.45,7.59
21,28,11,60,8.62,7.07,8.04
13,38,17,68,6.8,7.52,7.4
26,35,24,85,9.3,8.2,8.74
11,32,18,61,8,7.78,7.2
27,32,22,81,8.55,7.58,7.97
18,31,18,67,8.88,8.5,8.06
25,32,20,77,8.88,7.82,8.35
16,34,17,67,8.12,7.58,7.58
33,30,26,89,9.62,8.2,8.86
18,33,29,80,8.45,8.05,8.43
22,33,17,72,8.3,7.92,8.41
31,38,18,87,9.35,8.15,8.42
23,24,25,72,8.52,7.18,8.07
25,34,27,86,8.07,7.82,8.07
35,36,25,96,9.23,7.38,8.31
19,22,16,57,8.28,6.82,7.64
13,39,24,76,8.85,8.45,7.94
16,23,17,56,6.92,7.3,7.46
24,25,14,63,8.25,8.12,8.28
19,26,26,71,8.55,7.42,8.28
21,31,13,65,8.93,8.12,8.68
16,28,13,57,7.57,7.52,7.61
19,25,12,56,8.55,8.43,8.34
20,27,18,65,8.15,8.07,8.02
35,31,23,89,8.98,6.5,7.88
23,30,18,71,6.85,6.6,7.68
18,28,15,61,7.55,6.35,6.82
22,30,22,74,8.1,6.88,7.78
11,32,8,51,7.45,7.88,7.76
31,40,33,104,8.98,7.52,9.1
26,32,25,83,8.32,7.15,7.91
34,29,26,89,9.32,8.1,9.1
23,30,21,74,8.85,7.1,8.17
32,34,22,88,9.07,7.6,8.57
16,30,17,63,8.05,7.55,8.25
23,26,17,66,8.73,8.2,8.55
24,39,24,87,7.98,6.9,8.21
15,23,21,59,8.25,7.1,8.34
20,33,14,67,8.25,7.42,8.46
14,25,25,64,7.48,6.58,7.82
29,25,18,72,8.7,7.3,8.56
29,34,32,95,9,7.22,8.91
32,22,21,75,9.28,7.52,8.82
19,29,19,67,8.18,8.02,8.54
28,34,25,87,9.12,8.12,8.79
20,23,13,56,8.52,7.12,8.37
21,28,14,63,8.72,6.98,8.1
26,32,19,77,9.68,7.9,8.14
34,27,22,83,9.57,7.82,8.1
18,37,20,75,7.4,7.62,7.56
15,38,25,78,6.8,7.05,7.18
28,28,22,78,8.52,7.85,8.78
23,32,22,77,8.7,7.65,8.43
26,28,21,75,8.88,8.15,8.96
26,32,22,80,9.15,8,9.07
36,34,37,107,9.78,7.52,8.88
25,32,20,77,8,6.9,7.79
32,22,14,68,9,7.7,8.57
39,26,27,92,9.48,7.58,9.1
15,30,22,67,8.18,6.9,7.88
26,29,14,69,9.05,7.25,8.46
23,30,23,76,8.82,7.12,8.5
18,20,18,56,7.7,6.28,7.63
38,22,23,83,9.38,6.95,8.64
36,32,25,93,9.4,7.62,8.76
32,38,32,102,9.3,8.4,8.44
10,25,13,48,7.3,7.62,8.14
25,24,17,66,8.85,8.15,8.18
11,25,13,49,8.5,7.88,8.84
13,29,15,57,7.43,7.32,8.08
28,31,20,79,8.7,7.12,8.52
22,25,22,69,8.48,7.48,8.42
22,34,21,77,7.95,7.72,8.26
15,37,29,81,8.98,7.62,8.88
26,35,19,80,9.18,8.52,8.88
23,35,23,81,7.82,8,8.06
21,36,15,72,8.25,7.25,8.18
11,31,26,68,6.82,6.42,7.2
14,30,14,58,7.1,7.72,7.76
35,32,27,94,9,7.78,8.55
21,29,19,69,8.65,6.82,8.28
24,32,10,66,8.55,7.62,7.98
26,27,22,75,8.93,6.92,8.24
20,31,21,72,8.95,8.52,8.9
32,35,32,99,8.32,7.82,8.41
37,33,27,97,9.2,6.9,8.42
18,36,19,73,7.9,7.2,7.06
36,27,27,90,9.38,6.95,8.63
17,33,22,72,7.9,6.48,7.7
30,32,24,86,8.75,6.8,8.18
40,29,29,98,9.45,7.12,8.45
22,28,20,70,7.3,6,7.78
20,27,22,69,7.98,6.7,8.2
20,36,25,81,8.82,6.98,8.43
30,24,24,78,8.85,7,8.55
27,32,23,82,8.43,7.6,8.59
33,34,30,97,9.48,7.22,8.72
41,35,23,99,9.5,8.02,8.74
14,29,15,58,7.02,7.15,7.46
38,38,27,103,9.65,7.45,8.62
31,29,27,87,8.98,7.2,8.56
29,34,14,77,8.7,7.43,8.56
20,23,13,56,8.12,7.1,8.4
26,25,21,72,8.45,6.6,8.1
18,27,14,59,7.28,5.93,6.96
24,26,25,75,6.68,6.92,7
23,31,24,78,8.68,7.68,8.07
42,26,29,97,8.88,7.12,8.5
29,36,31,96,8.98,7.8,8.84
17,35,24,76,7.9,7.98,7.9
16,23,19,58,8.25,7.72,8.52
